Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
41;21100386521;"Language, Cognition and Neuroscience";journal;"23273801, 23273798";1,006;Q2;94;122;255;9095;690;239;2,02;74,55;United States;Northern America;"Taylor and Francis Inc.";"2013-2023";"Linguistics and Language (Q1); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2)";"Neuroscience; Psychology; Social Sciences"
42;15407;"Visual Cognition";journal;"13506285, 14640716";1,003;Q2;91;34;161;1583;396;159;2,27;46,56;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2023";"Arts and Humanities (miscellaneous) (Q1); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2)";"Arts and Humanities; Neuroscience; Psychology"
43;15413;"Journal of Cognition and Development";journal;"15327647, 15248372";0,996;Q2;68;51;120;3210;282;119;1,95;62,94;United States;Northern America;"Psychology Press Ltd";"2000-2023";"Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
44;25677;"Journal of Child Language";journal;"03050009, 14697602";0,990;Q2;85;93;200;4959;526;198;2,06;53,32;United Kingdom;Western Europe;"Cambridge University Press";"1974-2023";"Linguistics and Language (Q1); Psychology (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Psychology; Social Sciences"
45;12886;"Cognitive Systems Research";journal;"13890417, 22144366";0,957;Q2;69;68;175;4029;812;172;3,11;59,25;Netherlands;Western Europe;"Elsevier B.V.";"1999-2024";"Artificial Intelligence (Q2); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2); Software (Q2)";"Computer Science; Neuroscience; Psychology"
46;18009;"Neuropsychologia";journal;"18733514, 00283932";0,956;Q2;229;196;852;15829;2275;840;2,24;80,76;United Kingdom;Western Europe;"Elsevier Ltd";"1963-2023";"Behavioral Neuroscience (Q2); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2)";"Neuroscience; Psychology"
47;19400158521;"Review of Philosophy and Psychology";journal;"18785166, 18785158";0,922;Q2;45;109;165;7379;387;158;2,04;67,70;Germany;Western Europe;"Springer Verlag";"2010-2023";"Philosophy (Q1); Experimental and Cognitive Psychology (Q2)";"Arts and Humanities; Psychology"
48;19700170244;"Language and Cognition";journal;"18669808, 18669859";0,915;Q2;18;54;79;3327;187;79;1,31;61,61;United Kingdom;Western Europe;"Cambridge University Press";"2017-2023";"Linguistics and Language (Q1); Experimental and Cognitive Psychology (Q2)";"Psychology; Social Sciences"
49;21100943318;"Journal of Numerical Cognition";journal;"23638761";0,910;Q2;9;26;70;1464;154;66;2,17;56,31;Germany;Western Europe;"PsychOpen";"2019-2023";"Applied Mathematics (Q1); Numerical Analysis (Q1); Experimental and Cognitive Psychology (Q2)";"Mathematics; Psychology"
50;13466;"Psychological Research";journal;"14302772, 03400727";0,894;Q2;89;215;583;14163;1530;582;2,61;65,87;Germany;Western Europe;"Springer Verlag";"1974-2023";"Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Arts and Humanities; Medicine; Psychology"
51;14852;"Intelligence";journal;"01602896";0,891;Q2;109;47;158;3551;589;151;3,51;75,55;United Kingdom;Western Europe;"Elsevier Ltd";"1977-2023";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Arts and Humanities; Psychology"
